game_id,win_char1,win_weapon1,win_lv1,win_leg1,win_tran1,win_char2,win_weapon2,win_lv2,win_leg2,win_tran2,win_char3,win_weapon3,win_lv3,win_leg3,win_tran3,lose_char1,lose_weapon1,lose_lv1,lose_leg1,lose_tran1,lose_char2,lose_weapon2,lose_lv2,lose_leg2,lose_tran2,lose_char3,lose_weapon3,lose_lv3,lose_leg3,lose_tran3
64509861,85,13,18,4,1,37,15,19,4,1,17,5,18,3,2,73,24,17,1,0,84,18,19,4,1,60,6,19,2,3
64490826,77,24,20,4,1,33,1,20,5,0,65,16,20,4,1,30,13,19,4,1,72,11,20,3,2,78,16,19,3,2
64490327,86,1,19,4,1,1,15,19,3,2,70,6,18,4,1,77,24,18,4,0,80,19,18,3,1,28,13,18,4,1
64489476,83,6,19,5,0,39,18,19,5,0,50,21,18,4,1,42,24,19,4,1,37,15,19,4,1,1,15,19,3,1
64716307,75,22,18,5,0,21,9,18,4,1,24,3,17,5,0,44,25,18,5,0,9,10,17,4,1,33,1,17,5,0
64715561,76,3,20,4,0,33,1,20,3,0,90,11,20,4,1,47,4,20,5,0,45,4,19,4,1,78,16,20,3,2
64714538,44,25,16,4,0,77,24,17,3,1,76,3,16,3,0,22,3,17,2,0,79,8,16,4,0,77,24,17,4,0
64604732,35,1,20,4,1,11,16,19,4,1,90,11,19,4,1,27,9,19,3,1,29,1,20,4,1,78,16,20,5,0
64602978,71,14,20,4,1,36,5,20,2,3,7,1,20,4,1,69,9,19,3,0,2,10,20,4,1,74,3,19,4,1
64602501,25,11,20,3,2,81,9,20,3,2,85,13,19,4,1,66,24,19,4,1,25,11,19,5,0,61,5,19,4,1
64601516,74,3,19,5,0,7,1,19,5,0,9,10,19,3,2,36,5,20,3,2,59,2,19,4,1,15,6,19,3,2
64600539,55,14,19,5,0,32,5,19,3,2,8,22,19,3,2,21,9,18,5,0,11,18,19,4,1,39,18,19,5,0
64598154,55,14,19,4,0,31,7,20,2,3,2,11,19,4,1,33,1,19,5,0,53,13,19,5,0,23,18,19,4,1
64590839,42,24,20,4,1,64,24,20,5,0,71,14,20,5,0,11,16,20,4,1,72,11,20,3,2,81,9,20,5,0
64590577,24,21,20,4,1,76,3,19,3,1,2,11,20,4,1,48,3,18,3,0,11,16,19,3,0,18,15,19,4,1
64590330,29,1,20,4,1,30,13,19,5,0,81,9,19,2,3,37,15,20,3,1,22,3,19,5,0,82,21,20,3,2
64589946,63,15,19,4,1,83,6,20,3,2,33,1,20,5,0,27,2,18,3,0,29,1,20,4,1,89,9,19,4,0
64589602,30,13,19,3,1,81,9,19,4,1,36,5,20,3,2,79,8,20,4,1,44,25,19,5,0,31,7,20,4,1
64589368,80,19,20,4,1,81,9,20,2,3,39,18,20,4,1,19,6,20,5,0,28,3,20,5,0,47,4,19,4,1
64588799,17,5,20,3,2,22,3,20,4,1,65,16,20,4,1,44,25,19,5,0,36,5,20,2,1,77,24,20,4,1
64588155,40,6,20,5,0,8,22,20,5,0,66,24,20,4,1,74,3,20,3,2,79,8,20,3,2,6,8,20,4,1
64587862,83,6,20,5,0,16,9,19,5,0,39,18,20,4,1,46,16,20,5,0,34,23,20,3,2,3,21,19,4,1
64561992,74,3,19,5,0,2,11,19,4,0,40,6,19,4,1,3,21,19,5,0,90,11,19,3,2,89,9,19,4,1
64698596,72,11,20,4,1,25,11,20,4,1,2,11,20,3,2,70,6,20,4,1,61,5,20,3,2,27,16,20,4,0
64698083,43,5,20,4,1,14,21,20,4,1,60,6,20,4,1,7,1,20,4,1,47,4,20,5,0,70,6,19,4,1
64686031,21,9,20,3,2,55,14,19,4,1,24,3,20,4,1,17,5,19,4,1,35,2,20,3,2,23,18,20,4,1
64652634,11,16,20,4,1,86,1,19,5,0,72,11,20,3,2,76,3,20,5,0,54,8,20,4,1,11,16,20,5,0
64652002,37,15,20,5,0,29,1,20,4,1,77,24,20,3,2,74,3,20,5,0,9,10,20,4,1,10,1,20,5,0
64651543,11,16,20,4,1,6,8,20,3,1,54,8,20,4,1,32,5,20,4,1,37,15,20,5,0,89,9,20,5,0
64650684,55,14,20,4,1,1,18,20,3,2,72,11,20,4,1,89,9,20,4,1,90,11,20,5,0,17,5,19,5,0
64650418,72,11,20,4,1,68,1,20,5,0,77,24,20,3,2,83,6,20,5,0,77,24,20,5,0,44,25,20,5,0
64650184,22,3,20,3,2,1,15,20,3,2,81,9,20,3,2,80,19,19,4,1,50,21,20,5,0,31,7,20,3,2
64719210,90,11,19,4,1,88,3,18,3,1,18,15,19,2,2,54,8,19,5,0,72,11,19,5,0,64,24,18,2,1
